English Name,Entry Category,CN Translation (中文翻译),Translation Adoption Date,Translated by,Comments / Brief explanation,Affiliated Superpower,Affiliated Organization(s),Tags
Nikolas Glass,Human Name,尼古拉斯·格拉斯,3308/4/13,ImperiusKang,,,,
Conrad Sterling,Human Name,康拉德·斯特林,3308/4/26,,Vox Galactica 政治记者,,Vox Galactica,Reporter
Jonathon Forester,Human Name,乔纳森·福雷斯特,3308/5/26,,"Ex-Captian of the Golconda Generation Ship
戈尔康达号世代飞船前船长",,None,
Edmund Mahon,Human Name,艾德蒙德·马鸿,3308/7/1,ImperiusKang,,Alliance,,
Felicia Winters,Human Name,菲利西亚·温特斯,3308/7/1,ImperiusKang,"Gender: F
影子总统
注：由“菲利斯亚·温特斯”修订为“菲利西亚·温特斯”",Federation,,
Pranav Antal,Human Name,普瑞内弗·安东,3308/7/1,ImperiusKang,Pranav Antal大师为乌托邦（Utopia）运动的领袖,Utopia,,
Morag Halloran,Human Name,莫拉格·哈洛伦,3308/7/7,ImperiusKang,,,,
Ethan Takahashi,Human Name,伊桑·高桥,3308/7/11,ImperiusKang,,,,
Yuri Grom,Human Name,尤里·格罗姆,3308/7/15,ImperiusKang,,,Yuri Grom,
Jasmina Halsey,Human Name,杰斯米娜·哈尔西,3308/7/15,ImperiusKang,,,,
Alba Tesreau,Human Name,阿尔巴·泰斯瑞尔,3308/7/27,ImperiusKang,"Gender:F
宙斯盾前研究主管",,AEGIS,
Torben Rademaker,Human Name,托本·拉德马克,3308/7/25,ImperiusKang,Azimuth战略运营主管 (注：救赎死后升任CEO),,Azimuth,
Caleb Wycherley,Human Name,凯莱布·威切利,3308/7.27,,,,,
Maxim Lagunov,Human Name,马克西姆·拉古诺夫,3308/8/4,ImperiusKang,“光辉前景”号巨型飞船的指挥官,,,
Ernesto Rios,Human Name,埃内斯托·里奥斯,,,卡拉狄加之声的战地记者,,,Reporter
Heimar Borichev,Human Name,海马·鲍里彻夫,,,君主报副主编,,,Press
Tayo Maikori,Human Name,塔约·麦克利,3308/8/12,ImperiusKang,联邦舰队上将,Federation,,
Denton Patreus,Human Name,丹顿·帕特瑞斯,3308/8/12,ImperiusKang,某位参议员,,,
Nakato Kaine,Human Name,纳卡托·凯恩,3308/7/1,ImperiusKang,联盟议会委员,Alliance,,
Simguru Pranav Antal,Human Name,西格鲁·派瑞娜·安东,3308.7.1,ImperiusKang,,,,
Faisal Sacranie,Human Name,费萨尔·赛克拉尼,3308/7/14,ImperiusKang,,,,
Jade Sanderlyn,Human Name,杰德·森德琳,3308/7/13,ImperiusKang,Vox Galactica 记者-我是《卡拉狄加之声》的杰德·桑德林。出门在外，记得注意安全。,,,Reporter
Joy Senne,Human Name,乔·森尼,3308/7/13,ImperiusKang,Gender:F,,,
Ram Tah,Human Name,拉姆·达,3308/8/5,ImperiusKang,,,,
Marcus Mercer,Human Name,马库斯·默瑟,3308/8/15,ImperiusKang,,,,
Jameelah Griffin,Human Name,杰姆艾勒·格里芬,3308/8/16,ImperiusKang,,,,
Ishmael Palin,Human Name,以赛马利·佩林,3308/8/17,ImperiusKang,"Gender:M
校验时由“伊什梅尔·佩琳”改为“以赛马利·佩林”，因为他是男性角色",,,
Dalton Chase,Human Name,道尔顿·奇斯,3308/8/23,,,,,
Kit Fowler,Human Name,基特·福勒,,,工程师,,,
Delfina Dominguez,Human Name,黛尔菲娜·多明格斯,,,,,,
Flint ‘Firemaker’ Lafosse,Human Name,弗林特·“纵火者”·拉弗斯,3308/8/23,ImperiusKang,独立记者,,Independent,Reporter
Maxton Price,Human Name,马可斯敦·普莱斯,3308/6/2,JHLSunny,联邦上将,Federation,,
Aden Tanner,Human Name,艾登·坦纳,3308/8/26,ImperiusKang,前联邦海军上将,Federation,,
Fiona Logan,Human Name,菲奥娜·罗根,3308/8/26,ImperiusKang,高级律师,Federation,,
Cynthia Sideris,Human Name,辛西娅·赛德瑞斯,3308/9/2,ImperiusKang,Universal Cartographics的主席,,Universal Cartographics,
Shamus Madigan,Human Name,沙姆斯·马蒂干,3308/9/5,ImperiusKang,Olympus Village University教授,,Olympus Village University,
Ivano Colombera,Human Name,伊瓦诺·科伦贝拉,3308/9/5,ImperiusKang,帝国科学院异种学研究主任,Empire,,
Eva Llewellyn,Human Name,伊娃·卢维林,3308/9/5,ImperiusKang,,,,
Jeong-Hui Shin,Human Name,申正熙,3308/9/5,JHLSunny,,,,
Bethany Blake,Human Name,贝瑟尼·布莱克,3308/9/12,ImperiusKang,联邦主动侦查局副局长,Federation,,
Alfred Ulyanov,Human Name,阿尔弗雷德·乌里扬诺夫,3308/9/12,ImperiusKang,,,,
Timothy Culver,Human Name,蒂莫西·卡尔弗,3308/9/14,ImperiusKang,,,,
Alexei Keel,Human Name,阿列克谢·克尔,3308/9/20,ImperiusKang,自由记者,,,
Lana Berkovich,Human Name,拉娜·伯科维奇,3308/9/20,ImperiusKang,"Secretary of State, 国务卿",,,
Elizabeth Perez,Human Name,伊丽莎白·佩雷兹,3308/9/23,ImperiusKang,Orion University教授,,,
Hildegard Dressler,Human Name,希尔德加德·德雷斯勒,3308/9/23,ImperiusKang,,,,
Angela Corcoran,Human Name,安吉拉·卡克瑞恩,3308/9/28,ImperiusKang,联盟副总理,Alliance,,
Nadia Machado,Human Name,纳迪亚·马查多,3308/9/29,ImperiusKang,,,,
Carter Armstrong,Human Name,卡特·阿姆斯特朗,3308/10/3,ImperiusKang,,,,
Mia Valencourt,Human Name,米娅·瓦伦科特,3308/10/3,ImperiusKang,,,,
Yazhu Xing,Human Name,邢雅珠,3308/10/3,ImperiusKang,,,,
Isolde Rochester,Human Name,伊索德·罗切斯特,3308/10/3,ImperiusKang,,,,
Allan Mantle,Human Name,艾伦·曼特尔,3308/10/4,ImperiusKang,,,,
Seo Jin-ae,Human Name,徐真爱,3308/10/7,ImperiusKang,六翼天使计划的幸存者D-2,,,
Sofia Trevino,Human Name,索菲亚·特雷维诺,3308/10/14,ImperiusKang,政治记者,,,Reporter
Theodore Pachis,Human Name,西奥多·帕奇斯,3308/10/15,ImperiusKang,议员,,,
Cassia Carvalho,Human Name,卡西亚·卡瓦霍,3308/10/21,ImperiusKang,Imperial Herald的政治记者,,,Reporter
Zemina Torval,Human Name,泽米娜·托瓦尔,3308/10/21,ImperiusKang,,,,
Falkenrath,Human Name,法克瑞斯,3308/10/25,ImperiusKang,,,,
Polly French,Human Name,波利·弗兰奇,3308/10/27,ImperiusKang,,,,
Harrison Gladstone,Human Name,哈里森·格莱斯顿,3308/10/27,ImperiusKang,特纳研究集团的成员（发言人？）,,,
Rachel Ziegler,Human Name,雷切尔·齐格勒,3308/10/28,ImperiusKang,,,,
Juno Rochester,Human Name,朱诺·罗切斯特,3308/10/28,ImperiusKang,,,,
Caspian Leopold,Human Name,凯斯比恩·利奥波德,3308/10/31,ImperiusKang,,,,
Anders Blaine,Human Name,安德斯·布莱恩,3308/10/31,ImperiusKang,帝国议院议长（Chancellor）,Empire,,
Liam Flanagan,Human Name,利亚姆·弗拉纳根,3308/11/1,ImperiusKang,,,,
George Varma,Human Name,乔治·瓦尔马,3308/11/1,ImperiusKang,,,,
Maristela Silva,Human Name,马里斯特拉·希尔瓦,3308/11/1,ImperiusKang,,,,
Tahir West,Human Name,塔希尔·韦斯特,3308/11/1,ImperiusKang,,,,
Hayley Sorokin,Human Name,海莉·索罗金,3308/11/1,ImperiusKang,,,,
Jaya Chaudhary,Human Name,贾亚·乔达里,3308/11/1,ImperiusKang,,,,
Yaro Kenyatta,Human Name,雅罗·肯雅塔,3308/11/4,ImperiusKang,,,,
Lori Jameson,Human Name,罗利·詹姆森,3308/11/11,ImperiusKang,,,,
Bernadette Wells,Human Name,伯纳黛特·威尔斯,3308/11/14,ImperiusKang,,,,
Casey Kilpatrick,Human Name,凯西·凯尔帕特瑞克,3308/11/15,ImperiusKang,,,,
Lewis Laychurch,Human Name,路易斯·雷丘奇,3308/11/15,ImperiusKang,,,,
Elias Pope,Human Name,伊莱亚斯·波普,3308/11/21,ImperiusKang,,,,
Luria,Human Name,卢里亚,,ImperiusKang,,,,
Rani Zaman,Human Name,拉尼·扎曼,3308/11/24,ImperiusKang,,,,
Remy Leroux,Human Name,雷米·勒鲁,3308/11/28,ImperiusKang,,,,
Klaus-Peter Sonnek,Human Name,克劳斯-彼得·索尼克,3308/11/29,ImperiusKang,,,,
Justine Kemp,Human Name,贾斯汀·坎普,3308/12/5,ImperiusKang,,,,
Liz Ryder,Human Name,莉兹·雷德,3308/12/6,ImperiusKang,,,,
Zachariah Nemo,Human Name,扎卡利亚·尼莫,3308/12/6,ImperiusKang,,,,
Bris Dekker,Human Name,布里斯·德克,3308/12/19,ImperiusKang,,,,
Nassim Qadir,Human Name,纳西姆·卡迪尔,3309/1/5,JHLSunny,Azimuth生物研究部门主管,,Azimuth,
Gudrun Vestergaard,Human Name,古德伦·韦斯特加德,3309/1/16,JHLSunny,Imperial Herald的皇室记者,,,Reporter
Skylar Anderson,Human Name,斯凯拉·安德森,3309/1/31,JHLSunny,帝国海军中将,Empire,,
Archon Delaine,Human Name,阿肯·德莱恩,3308/4/26,,库莫帮的军阀（27 Jan 3309）,,Kumo,
